member_id,open_time_stamp
Pr9iIXAGwnq5s7LFcfhf7w==,2018-09-22T10:17:14
Cb/XskHLkNxsDCv0ao7G5g==,2018-09-22T23:19:36
t9FF9i7OA4C8Q62uhrbppQ==,2018-09-22T21:20:41
x7WpiN4+qKjPGh9WuC1kFA==,2018-09-22T18:17:34
4BW1peqbtXQ+FZWRCUmXAw==,2018-09-22T23:26:05
ks2pW4sVJRLH9E20WSySMA==,2018-09-22T20:17:50
VbCnfR/Sw9PIXqq1818wEg==,2018-09-23T01:34:38
VbCnfR/Sw9PIXqq1818wEg==,2018-09-23T01:37:32
uKqUnEUeqk0o1xTMDIE6sQ==,2018-09-22T18:13:50
BaxrwlrJeSReq1Ovgt3mpg==,2018-09-22T03:22:04
izqJ4GJd+ZcbU+UReRxksA==,2018-09-22T17:49:56
XutsRkMNSaOvTTd1TTwOaA==,2018-09-22T18:59:24
zwKL7XRcUYpeg/QbZsA0pw==,2018-09-22T20:51:23
nhSgleAxAbm5TFH5nuMI3A==,2018-09-22T23:46:12
ytrfeqLPWPUQmNx3JFQFig==,2018-09-22T12:35:59
KPP/JW81qCpgoUy2Bua4zw==,2018-09-22T17:03:32
Ts5Z47TnGB+xX9n9sQetSA==,2018-09-22T11:39:55
DWE0SeGv63yz6teGWFMyjw==,2018-09-22T15:27:23
wmPgJ1n4TKhmrsBCwi0x2w==,2018-09-22T16:59:31
P3lk9pSrJDMDVqsWvYgLlg==,2018-09-22T13:45:30
6Ys1cs1zHznEOljblG9bug==,2018-09-22T07:09:05
Q9wbAk5R+cnVqPe5fHuWaA==,2018-09-22T20:47:18
j1npXm9mhKDwE8L7FbRRdQ==,2018-09-22T10:54:46
1ORh2h14D+DAScvWmV2jng==,2018-09-22T15:38:45
5mAoI2PaOcKx7ECb+rqQzA==,2018-09-22T21:28:36
38USI9YELKo9igAsOkZWiw==,2018-09-22T20:01:02
nVq2jhmQjrgNwzIUuW1Ybg==,2018-09-23T00:46:51
IVR9yKJWg7oYsCBXKxROqg==,2018-09-22T19:31:44
7G8AvPghkG/9YRXCQWHcKQ==,2018-09-22T20:39:04
VD6FjSI0nUbxh5zcTLWTCg==,2018-09-22T06:49:59
ke+7Kdr4hrUwE9Y3wdR35g==,2018-09-22T07:28:23
y+sit1x1S88534RF81o55w==,2018-09-23T00:02:30
3o3U6YxdWXm9/VMmh6IR9A==,2018-09-22T18:31:55
0aAjgp+usd0Al3uTfGxaZA==,2018-09-22T18:05:44
VLqzMgTILYDYLv/ZsTLILw==,2018-09-22T12:31:17
RHxlcAU7SoEkz9uFxs9qrg==,2018-09-22T12:20:44
Cdr4cZkL3UW68v0MnKH5bg==,2018-09-22T16:58:37
HIQ8Z0eeHWSVg0wzTP6XDw==,2018-09-22T19:31:08
4un5T3H/icOwnO5IpG6zgA==,2018-09-22T19:46:30
WCXpt3Le0tE7obbusnpEVg==,2018-09-22T18:49:55
LZUz3wtb/thh1gZIH46kuw==,2018-09-22T23:40:04
K6truHoBCjVsc0Nkf0uJOg==,2018-09-22T19:49:20
Frc2bvvyYQCO9dzZbFo/dg==,2018-09-22T20:04:23
sv0nl164bbCKebBRbcKypA==,2018-09-22T10:44:57
CXEQfIlhSno7l+HzgNHZpQ==,2018-09-22T15:11:52
pYbos7aiZVc06pyvLH7KZQ==,2018-09-22T07:44:34
1YiHC6nRsTn9QK4yuLw9yw==,2018-09-22T22:02:40
uJLHhxBmpqUwFT7VLB+zjw==,2018-09-22T21:07:12
Mtu5fdGogNFQ4yWnV0Cz8Q==,2018-09-22T23:12:51
8VmyL7ZPDyBgED5thaeAkA==,2018-09-22T15:47:48
88EJhN73td+Po+HQZITTmg==,2018-09-22T22:34:18
JggocEWymLAUWiGo3/UpSA==,2018-09-22T08:30:36
mw3Epk0P9xEFFjpG0OmRbw==,2018-09-22T07:48:44
280ZwXFm85yV8cQWZNJX0w==,2018-09-22T15:43:16
cJHSHp51sIwWYosuFbm+6g==,2018-09-23T00:00:39
hQoGB3WuX4VWSthEKobSTg==,2018-09-22T12:14:25
Z97Nu+XGbS/DuYQfObjf5g==,2018-09-22T18:05:19
o+kI1fJ3dAQJMtb16tvZiA==,2018-09-22T14:37:18
/9hhzsYGYXAFyiQHl8w1mg==,2018-09-22T12:42:53
tRe/rekmQhINglSIut+frA==,2018-09-22T10:28:36
/Xne1TebV69ZY1GK6T2hvA==,2018-09-22T09:48:34
CVGwTBt+pdbyhnC2MpJz3w==,2018-09-22T14:50:46
o+kI1fJ3dAQJMtb16tvZiA==,2018-09-22T17:43:23
zwdM4DpPGiqu2uGRT9IIew==,2018-09-22T07:00:45
SwWcIFVTM4RjKNMSOL3oKw==,2018-09-22T16:16:48
85eCn1lpdOMWH1ODgKG/dw==,2018-09-22T18:10:53
kunWsl0hBOL4Wm/hlQsx+g==,2018-09-22T03:54:11
X6az8FN1+qcGec4BsKQcJw==,2018-09-22T14:22:21
VSlrcHGMW7PC26l3YWMaNw==,2018-09-22T11:42:34
dwojVvHbcQqtUP/oMaByTg==,2018-09-22T09:40:23
Fzo3ASQyNrZz6l9BXnfsvg==,2018-09-22T15:10:48
RiUzgfue2o4iAaER9PWGbA==,2018-09-23T00:36:19
Xtj4PZgs0jdfNFkE6NgVjg==,2018-09-22T20:37:35
1XsdKvpSXWEwQWt8AIfc5w==,2018-09-22T16:32:05
P7eH/AhrESrqyckxfr34qQ==,2018-09-22T17:13:58
ug6gropmEPwuQDds7gj++A==,2018-09-22T22:30:20
T8slJElQhDQL83gSI2zz2w==,2018-09-22T09:03:31
wFS7UoPjvg/YMWMnLhFYLg==,2018-09-22T16:25:37
RU6b88P6x9KJD7IW7HW2wg==,2018-09-23T00:43:53
Eaki179xCFzAi9nAAsSrmg==,2018-09-22T10:23:52
7KjoKdiX0NZOiP1WGqbXWA==,2018-09-22T09:45:30
PgOpy9cHCkU/plQwDXwIYw==,2018-09-22T14:29:21
bcJzj8O2iH7Ts9ZvcLWwBw==,2018-09-22T20:57:32
k0nFfBxBl6ItXwhqJx4eag==,2018-09-22T16:38:16
N8HsNWaKsKuebn4Yuh0Jqw==,2018-09-22T13:36:17
BW+UwVmTSjKpfYd+cm+9+g==,2018-09-22T13:16:24
6oMAEm9MhyWemkNqbfopzQ==,2018-09-22T23:12:20
aS/tgkKaXPQax/D3OhBz/g==,2018-09-22T19:41:26
vCiHahLcZvrH2e6MftWCFw==,2018-09-22T13:20:19
6oMAEm9MhyWemkNqbfopzQ==,2018-09-22T22:45:21
wES0CORI5xAB6dVNVYTllg==,2018-09-22T07:58:27
vCiHahLcZvrH2e6MftWCFw==,2018-09-22T13:20:44
mbALIH+UKpSsDAbcyodjcg==,2018-09-22T18:04:04
HkKA7725SAwijx1EeSH3Jw==,2018-09-22T10:58:05
1qYQot9K1giYnmEW+asCZQ==,2018-09-22T16:57:42
zC7rl69lu5yKFoOgdNUHfA==,2018-09-22T09:20:54
j7zEKdLyurg15tkUN6UEUg==,2018-09-23T00:25:37
cR+5DV8wojni/uIs+roi/A==,2018-09-22T19:06:21
OHi9icvCyAacVDcR06mRDw==,2018-09-22T17:37:49
hCrLwa9eizeQjrrMf7HBdw==,2018-09-22T18:50:43
